L,p,xi,decoder,errors,shots,errors_per_million,max_elapsed_s
3,0.005,0.0,circuit_mwpm,2257,5000000,451.4,0.04946004203520715
3,0.005,0.0,pre_hybrid_data_only,2257,5000000,451.4,0.05235258396714926
3,0.005,0.0,hybrid,2257,5000000,451.4,0.019704625010490417
3,0.005,2.0,circuit_mwpm,9673,5000000,1934.6,0.05293545895256102
3,0.005,2.0,pre_hybrid_data_only,9673,5000000,1934.6,0.05249474989250302
3,0.005,2.0,hybrid,9673,5000000,1934.6,0.019309625029563904
3,0.005,5.0,circuit_mwpm,20434,5000000,4086.8,0.05573962489143014
3,0.005,5.0,pre_hybrid_data_only,20434,5000000,4086.8,0.05967237497679889
3,0.005,5.0,hybrid,20218,5000000,4043.6,0.024233957985416055
3,0.005,10.0,circuit_mwpm,23680,5000000,4736.0,0.05559849995188415
3,0.005,10.0,pre_hybrid_data_only,23680,5000000,4736.0,0.0596066671423614
3,0.005,10.0,hybrid,23349,5000000,4669.8,0.027032959042117
3,0.01,0.0,circuit_mwpm,8691,5000000,1738.2,0.07636124989949167
3,0.01,0.0,pre_hybrid_data_only,8691,5000000,1738.2,0.0812353331129998
3,0.01,0.0,hybrid,8691,5000000,1738.2,0.024751124903559685
3,0.01,2.0,circuit_mwpm,26788,5000000,5357.6,0.06672308407723904
3,0.01,2.0,pre_hybrid_data_only,26788,5000000,5357.6,0.07514554099179804
3,0.01,2.0,hybrid,26788,5000000,5357.6,0.024891375098377466
3,0.01,5.0,circuit_mwpm,44952,5000000,8990.4,0.06747979205101728
3,0.01,5.0,pre_hybrid_data_only,44952,5000000,8990.4,0.06920070899650455
3,0.01,5.0,hybrid,44369,5000000,8873.8,0.023488666163757443
3,0.01,10.0,circuit_mwpm,49130,5000000,9826.0,0.059333625016734004
3,0.01,10.0,pre_hybrid_data_only,49130,5000000,9826.0,0.06585212494246662
3,0.01,10.0,hybrid,48570,5000000,9714.0,0.025439999997615814
5,0.005,0.0,circuit_mwpm,160,5000000,32.0,0.1399237080477178
5,0.005,0.0,pre_hybrid_data_only,159,5000000,31.8,0.13772849994711578
5,0.005,0.0,hybrid,159,5000000,31.8,0.1512169169727713
5,0.005,2.0,circuit_mwpm,2403,5000000,480.6,0.1443637078627944
5,0.005,2.0,pre_hybrid_data_only,2396,5000000,479.2,0.1428023329935968
5,0.005,2.0,hybrid,2396,5000000,479.2,0.1475942910183221
5,0.005,5.0,circuit_mwpm,11152,5000000,2230.4,0.14466554205864668
5,0.005,5.0,pre_hybrid_data_only,11120,5000000,2224.0,0.14069237490184605
